trans_year,trans_week,class_id,store_type,num_units
2011,6,,OUTLETS,125469
2011,31,,RETAIL,805609
2011,25,,RETAIL,1097691
2011,33,,RETAIL,829735
2011,48,,RETAIL,1073527
2011,26,,RETAIL,1030903
2011,32,,RETAIL,774173
2011,3,,OUTLETS,97550
2011,37,616,RETAIL,55
2011,49,616,RETAIL,13
2011,1,,OUTLETS,112144
2011,27,,OUTLETS,187954
2011,4,,OUTLETS,88270
2011,29,616,OUTLETS,1
2011,2,710,RETAIL,1
2011,46,,ECOM,89613
2011,35,616,ECOM,1
2011,13,615,RETAIL,3
2011,46,616,RETAIL,19
2011,3,616,ECOM,97
2011,15,615,RETAIL,1
2011,26,616,OUTLETS,1
2011,7,,ECOM,113109
2011,24,615,RETAIL,1
2011,0,,RETAIL,130329
2011,42,,RETAIL,772503
2011,50,,RETAIL,1205547
2011,25,616,RETAIL,149
2011,25,,OUTLETS,163118
2011,8,,OUTLETS,141521
2011,36,,OUTLETS,143649
2011,24,,OUTLETS,161440
2011,15,,OUTLETS,142776
2011,44,,OUTLETS,130167
2011,34,,OUTLETS,116500
2011,1,615,RETAIL,6
2011,33,,OUTLETS,156665
2011,27,616,RETAIL,161
2011,29,,OUTLETS,150880
2011,13,616,ECOM,20
2011,5,615,RETAIL,6
2011,10,710,RETAIL,2
2011,18,,ECOM,115258
2011,8,710,RETAIL,1
2011,32,710,ECOM,2
2011,8,,ECOM,116152
2011,26,,ECOM,141069
2011,29,,ECOM,84830
2011,30,,ECOM,85762
2011,0,,ECOM,5
2011,44,,RETAIL,881421
2011,29,,RETAIL,759707
2011,39,,RETAIL,898049
2011,7,,RETAIL,1232812
2011,46,,OUTLETS,137737
2011,19,,RETAIL,918796
2011,15,616,RETAIL,53
2011,15,,RETAIL,872052
2011,43,,RETAIL,697003
2011,48,,OUTLETS,153817
2011,49,,RETAIL,1081941
2011,0,,OUTLETS,26152
2011,17,,OUTLETS,134392
2011,36,,RETAIL,831453
2011,40,,OUTLETS,136936
2011,2,,OUTLETS,96773
2011,30,616,RETAIL,73
2011,16,616,RETAIL,60
2011,36,616,RETAIL,60
2011,23,616,RETAIL,63
